"","time","sumi_death2","sumi_death2u","sumi_death2l","sumi_fed2","sumi_fed2l","sumi_fed2u"
"1",1,0.544403888161482,0.693553503856919,0.54099885784067,0.0141562256613529,0.0153769041731469,0.0128893599539538
"2",2,0.545576227635288,0.694542753541007,0.542101392926411,0.0143694006917717,0.0156137372435213,0.0130792304671821
"3",3,0.546741835049163,0.695521871384802,0.543196103584397,0.0145854173823523,0.0158538056313761,0.013271569806095
"4",4,0.54790065584236,0.696490843676093,0.544282929620541,0.0148043065816463,0.0160971455073081,0.0134664039111721
"5",5,0.549052635778957,0.697449657302127,0.545361811226779,0.0150260993443246,0.0163437932955422,0.0136637588849257
"6",6,0.55019772095188,0.698398299744443,0.546432688986051,0.0152508269301714,0.016593785672821,0.0138636609909233
"7",7,0.551335857786875,0.699336759073656,0.547495503877243,0.0154785208030225,0.0168471595672246,0.014066136652767
"8",8,0.552466993046422,0.700265023944187,0.548550197280072,0.0157092126296478,0.017103952156918,0.0142712124530271
"9",9,0.553591073833606,0.701183083588968,0.54959671097992,0.0159429342785777,0.0173642008688276,0.0144789151321324
"10",10,0.554708047595932,0.702090927814088,0.550634987172615,0.0161797178188714,0.0176279433772428,0.0146892715872146
"11",11,0.555817862129086,0.702988546993409,0.551664968469166,0.0164195955188284,0.0178952176023445,0.0149023088709076
"12",12,0.556920465580647,0.703875932063144,0.552686597900439,0.0166625998446409,0.018166061708658,0.0151180541901007
"13",13,0.558015806453746,0.704753074516405,0.553699818921783,0.0169087634589865,0.0184405141034287,0.0153365349046457
"14",14,0.559103833610675,0.705619966397711,0.554704575417611,0.0171581192195624,0.0187186134349221,0.015557778526017
"15",15,0.560184496276438,0.706476600297474,0.555700811705917,0.0174107001775576,0.019000398590644,0.015781812715925
"16",16,0.561257744042254,0.707322969346457,0.556688472542749,0.0176665395760652,0.0192859086954826,0.0160086652848815
"17",17,0.562323526869005,0.708159067210203,0.557667503126627,0.0179256708484324,0.0195751831097696,0.0162383641907183
"18",18,0.563381795090637,0.708984888083449,0.558637849102912,0.0181881276165482,0.0198682614272612,0.0164709375370564
"19",19,0.564432499417499,0.709800426684512,0.559599456568117,0.0184539436890684,0.0201651834730356,0.0167064135717278
"20",20,0.565475590939638,0.71060567824966,0.560552272074173,0.0187231530595771,0.0204659893013092,0.0169448206851475
"21",21,0.566511021130037,0.711400638527474,0.561496242632636,0.0189957899046833,0.0207707191931675,0.0171861874086377
"22",22,0.567538741847803,0.712185303773181,0.562431315718848,0.0192718885820543,0.0210794136542119,0.0174305424127008
"23",23,0.568558705341301,0.712959670742992,0.563357439276042,0.0195514836283825,0.0213921134121208,0.0176779145052444
"24",24,0.569570864251235,0.713723736688421,0.564274561719402,0.0198346097572875,0.0217088594141238,0.0179283326297551
"25",25,0.570575171613682,0.714477499350596,0.565182631940058,0.0201213018571507,0.0220296928243891,0.0181818258634224
