"","time","acte_death2","acte_death2u","acte_death2l","acte_fed2","acte_fed2l","acte_fed2u"
"1",1,0.700059817854328,0.703722758124743,0.69599920600655,0.00744969341299536,0.00796232638292478,0.00693433951846692
"2",2,0.700800572187479,0.70455091353436,0.696644052347454,0.00758645346145723,0.00811004128688695,0.00706030139406603
"3",3,0.701526884045791,0.705365753432308,0.69727324587793,0.00772550813004281,0.0082602549394687,0.00718835855749616
"4",4,0.702238711159577,0.706167239119455,0.697886740782205,0.00786689131982294,0.0084130043579567,0.00731854183262676
"5",5,0.702936011962263,0.706955332527431,0.698484492044274,0.00801063733432084,0.00856832699315119,0.00745088241228201
"6",6,0.7036187455898,0.707729996216798,0.699066455449156,0.00815678088208235,0.00872626073180908,0.0075854118608008
"7",7,0.704286871880094,0.708491193375212,0.699632587584187,0.00830535707920639,0.0088868438990319,0.00772216211656851
"8",8,0.704940351372457,0.709238887815587,0.700182845840371,0.00845640145183389,0.00905011526059641,0.00786116549451912
"9",9,0.705579145307092,0.709973043974268,0.700717188413779,0.00860994993859331,0.00921611402522546,0.00800245468860603
"10",10,0.706203215624601,0.710693626909206,0.701235574307005,0.00876603889300082,0.00938487984679703,0.00814606277424011
"11",11,0.706812524965528,0.711400602298145,0.701737963330689,0.00892470508581325,0.00955645282648881,0.00829202321069343
"12",12,0.707407036669937,0.712093936436824,0.70222431610509,0.00908598570733175,0.00973087351485635,0.00844036984346695
"13",13,0.707986714777024,0.712773596237184,0.702694594061729,0.00924991836965446,0.00990818291384202,0.0085911369066206
"14",14,0.708551524024779,0.713439549225606,0.703148759445098,0.00941654110887572,0.0100884224787125,0.00874435902506405
"15",15,0.709101429849676,0.714091763541159,0.703586775314435,0.00958589238723004,0.0102716341199227,0.00890007121680656
"16",16,0.709636398386422,0.714730207933873,0.704008605545572,0.00975801109517881,0.0104578602049024,0.00905830889516406
"17",17,0.710156396467743,0.715354851763037,0.704414214832854,0.00993293655343738,0.0106471435597651,0.00921910787092165
"18",18,0.710661391624231,0.71596566499553,0.704803568691135,0.0101107085149405,0.0108395274709342,0.00938250435445
"19",19,0.71115135208423,0.716562618204172,0.705176633457845,0.0102913671667439,0.0110350556866861,0.00954853495777357
"20",20,0.711626246773787,0.717145682566112,0.705533376295142,0.01047495313186,0.0112337724186056,0.00971723669658895
"21",21,0.712086045316655,0.717714829861253,0.705873765192141,0.0106615074710249,0.0114357223429528,0.0098886469922313
"22",22,0.712530718034359,0.718270032470713,0.706197768967224,0.0108510716843951,0.0116409506019369,0.0100628036735872
"23",23,0.712960235946315,0.718811263375317,0.706505357270434,0.0110436877131713,0.0118495028048966,0.0102397449789519
"24",24,0.713374570770019,0.719338496154141,0.706796500585957,0.0112393979411467,0.0120614250293812,0.0104195095578287
"25",25,0.713773694921301,0.719851704983097,0.707071170234681,0.011438245196178,0.0122767638221331,0.010602136472669
"26",26,0.714157581514638,0.720350864633555,0.707329338376854,0.0116402727515763,0.0124955661999659,0.0107876652005511
"27",27,0.714526204363544,0.720835950471026,0.707570978014821,0.0118455243274152,0.0127178796505373,0.0109761356347941
"28",28,0.714879537981028,0.72130693845388,0.707796062995857,0.0120540440917547,0.0129437521330129,0.011167588086508
"29",29,0.71521755758012,0.72176380513213,0.708004568015085,0.0122658766617772,0.0131732320786184,0.0113620632860741
"30",30,0.715540239074472,0.722206527646256,0.70819646861849,0.0124810671048336,0.0134063683910773,0.0115596023845569
"31",31,0.715847559079038,0.722635083726093,0.708371741206021,0.0126996609393972,0.0136432104469308,0.0117602469550432
"32",32,0.716139494910827,0.723049451689776,0.708530363034788,0.0129217041359228,0.0138838080957382,0.0119640389939067
"33",33,0.716416024589732,0.723449610442734,0.708672312222353,0.0131472431176077,0.0141282116601523,0.0121710209219974
"34",34,0.716677126839438,0.723835539476758,0.708797567750109,0.0133763247610529,0.0143764719358703,0.0123812355857509
"35",35,0.716922781088418,0.724207218869121,0.708906109466761,0.0136089963968216,0.014628640191454,0.0125947262582176
"36",36,0.717152967470999,0.724564629281766,0.708997918091894,0.013845305809892,0.014884768168018,0.0128115366400085
"37",37,0.717367666828515,0.724907751960558,0.709072975219636,0.0140853012400018,0.0151449080787829,0.0130317108601553
"38",38,0.717566860710547,0.725236568734602,0.709131263322421,0.0143290313818826,0.0154091126084897,0.0132552934768834
"39",39,0.71775053137624,0.725551062015631,0.709172765754836,0.0145765453853798,0.0156774349126723,0.0134823294782938
"40",40,0.717918661795712,0.725851214797464,0.709197466757567,0.0148278928554571,0.015949928616787,0.013712864282953
"41",41,0.71807123565154,0.726137010655525,0.709205351461442,0.0150831238520815,0.0162266478151922,0.0139469437403884
"42",42,0.718208237340343,0.726408433746452,0.709196405891554,0.0153422888899864,0.0165076470699792,0.0141846141314855
"43",43,0.718329651974439,0.726665468807762,0.70917061697149,0.0156054389383107,0.0167929814096486,0.0144259221687859
"44",44,0.718435465383601,0.726908101157597,0.709127972527637,0.0158726254201099,0.0170827063276296,0.0146709149966834
"45",45,0.718525664116893,0.727136316694546,0.709068461293595,0.0161439002117375,0.0173768777806398,0.0149196401915153
"46",46,0.718600235444595,0.727350101897547,0.708992072914657,0.0164193156420932,0.0176755521868817,0.0151721457615456
"47",47,0.718659167360218,0.72754944382585,0.708898797952401,0.016698924491735,0.0179787864240733,0.0154284801468407
"48",48,0.718702448582605,0.727734330119079,0.708788627889347,0.0169827799918536,0.0182866378273094,0.0156886922190312
"49",49,0.718730068558121,0.72790474899736,0.708661555133712,0.0172709358231039,0.0185991641867507,0.0159528312809598
"50",50,0.718742017462931,0.728060689261528,0.708517573024247,0.0175634461142934,0.0189164237451377,0.016220947066212
